item_id,item_name,en_name,category,item_type,price,total_price,des1_cn,des1_en,des2_cn,des2_en,image_url
1111,铁剑,Iron Sword,攻击,1,165,275,+20物理攻击,+20 Physical Attack,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1111.png
1112,匕首,Dagger,攻击,1,180,300,+10%攻击速度,+10%Attack Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1112.png
1113,搏击拳套,Boxing Gloves,攻击,1,180,300,+8%暴击率,+8%Critical Rate,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1113.png
1114,吸血之镰,Vampiric Scythe,攻击,1,180,300,+8%物理吸血,+8%Physical Lifesteal,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1114.png
1115,迅捷长矛,Swift Spear,攻击,1,456,760,+35物理攻击 +7.5%移动速度,+35 Physical Attack +7.5%Movement Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1115.png
1116,雷鸣刃,Thunder Blade,攻击,1,492,820,+35物理攻击 +12%暴击率,+35 Physical Attack +12%Critical Rate,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1116.png
1121,风暴巨剑,Storm Giant Sword,攻击,1,510,850,+75物理攻击,+75 Physical Attack,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1121.png
1122,日冕,Sun Crown,攻击,1,456,760,+35物理攻击 +450最大生命,+35 Physical Attack +450 Max Health,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1122.png
1123,狂暴双刃,Frenzy Dual Blades,攻击,1,456,760,+15%攻击速度 +7.5%移速,+15%Attack Speed +7.5%Movement Speed,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1123.png
1124,陨星,Meteor,攻击,1,456,760,+35物理攻击 +7.5%冷却缩减,+35 Physical Attack +7.5%Cooldown Reduction,,,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1124.png
1125,破魔刀,Magic Breaker,攻击,1,1236,2060,+90物理攻击 +150法术防御 +600最大生命,+90 Physical Attack +150 Magic Defense +600 Max Health,唯一被动-破魔：获得（50%物理伤害）法术防御，最多不超过250点。,"Unique Passive - Magic Break: gain (50% Physical Damage) as Magic Defense, capped at 250.",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1125.png
1126,末世,Doomsday,攻击,1,1260,2100,+500最大生命 +40物理攻击 +20%攻击速度  +20%物理吸血,+500 Max Health +40 Physical Attack +20%Attack Speed +20%Physical Lifesteal,唯一被动-破败：普攻额外造成目标80~160（+7%目标额外最大生命）的物理伤害,Unique Passive - Ruin: Basic Attackbonusdealtarget 80~160 (+7%targetbonusMax Health) Physical Damage,https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1126.png
1127,名刀·司命,Fate's Edge,攻击,1,1236,2060,+500最大生命 +75物理攻击 +15%攻击速度,+500 Max Health +75 Physical Attack +15%Attack Speed,唯一被动-暗幕：受到致命伤害时不会立刻阵亡，获得短暂无敌并增加15%移速，持续1秒，购买后每隔90/180/270秒增加0.2秒无敌并获得5%名刀·司命基础属性提升，至多3次，冷却时间：120秒,"Unique Passive - Dark Curtain: upon taking fatal damage, does not immediately die, gains brief Invincibility and +15% Movement Speed for 1 s, after purchase, every 90/180/270 s gains 0.2 s Invincibility and 5% Fate's Edge base stat boost, up to 3 times, Cooldown: 120 s",https://game.gtimg.cn/images/yxzj/img201606/itemimgo/1127.png
